customer_type,customer_idx,param,created_at
user,53,9781635190151,2022-06-28 10:58:06
user,5128,9781635190151,2022-06-28 12:20:45
user,5080,9781635190151,2022-06-28 12:49:22
user,5147,9781635190250,2022-06-29 00:07:45
user,5147,9781635190403,2022-06-29 00:08:03
user,5147,9791138318440,2022-06-29 00:08:29
user,5147,9781635190168,2022-06-29 00:09:33
user,5151,9788993596656,2022-06-29 04:02:58
user,5151,9791191426335,2022-06-29 04:03:16
user,5151,9788993596656,2022-06-29 04:09:52
user,5151,9791191347494,2022-06-29 04:10:51
user,5151,9791196324100,2022-06-29 04:12:49
user,5151,9791196852467,2022-06-29 04:13:38
user,5151,9791191426366,2022-06-29 04:14:28
user,5151,9791191426335,2022-06-29 04:14:31
user,5151,9791191426366,2022-06-29 04:14:35
user,5151,9791191426335,2022-06-29 04:16:29
user,5151,9791191426335,2022-06-29 04:17:40
user,5151,9788934986362,2022-06-29 04:18:59
user,5109,9781635190151,2022-06-29 09:30:47
user,5109,9781635190151,2022-06-29 09:52:44
user,5109,9781635190151,2022-06-29 09:53:33
user,5109,9781635190151,2022-06-29 10:25:13
user,5152,9788950980436,2022-06-29 14:46:36
user,5152,9788950980436,2022-06-29 14:52:24
user,5152,9791156259633,2022-06-29 15:04:49
user,5152,9791156259633,2022-06-29 15:04:58
user,5155,9791195352494,2022-06-30 14:20:20
user,5102,9781635190403,2022-06-30 14:24:28
user,5060,9788974747398,2022-07-01 03:05:08
user,5060,9788928505326,2022-07-01 03:05:15
user,5060,9788956387949,2022-07-01 03:05:28
user,5011,9791196577094,2022-07-01 05:51:00
user,5156,9788996994701,2022-07-02 02:08:16
user,5156,9791185872247,2022-07-02 02:13:38
user,5111,9791197433030,2022-07-02 09:11:47
user,5111,9791191156577,2022-07-02 09:11:56
user,5111,9791185872490,2022-07-02 09:13:21
user,5111,9791185872506,2022-07-02 09:13:33
user,5111,9781635190151,2022-07-02 09:13:48
company,46,9788954686730,2022-07-02 10:34:58
company,46,9791192211220,2022-07-02 10:37:15
company,46,9788937473364,2022-07-02 10:37:56
company,46,9791197846939,2022-07-02 10:40:12
company,46,9791139205015,2022-07-02 10:41:43
company,46,9788959407873,2022-07-02 10:43:54
company,46,9788965113300,2022-07-02 10:45:12
company,46,9788984079830,2022-07-02 10:47:27
company,46,9791191950144,2022-07-02 10:47:52
company,46,9791189969837,2022-07-02 10:48:19
company,46,9791196374860,2022-07-02 10:49:39
company,46,9791196972790,2022-07-02 10:50:27
company,46,9791191840292,2022-07-02 10:50:53
company,46,9791191652062,2022-07-02 10:51:17
company,46,9791168014930,2022-07-02 10:52:20
company,46,9788974797089,2022-07-02 10:54:09
company,46,9791192085357,2022-07-02 10:54:46
company,46,9791160201741,2022-07-02 10:55:35
company,46,9788931558883,2022-07-02 10:56:10
company,46,9791197886317,2022-07-02 11:00:12
company,46,9791165345303,2022-07-02 11:23:34
company,46,9791189607616,2022-07-02 11:24:18
company,46,9791167901125,2022-07-02 11:27:39
company,46,9791168610521,2022-07-02 11:28:40
company,46,9791130691053,2022-07-02 11:29:27
company,46,9791156291411,2022-07-02 11:30:07
company,46,9788954448338,2022-07-02 11:31:30
company,46,9791190238823,2022-07-02 11:37:45
company,46,9791168123502,2022-07-02 11:38:15
company,46,9791160805321,2022-07-02 11:39:10
company,46,9791167371669,2022-07-02 11:39:29
company,46,9791164401895,2022-07-02 11:40:14
company,46,9788966855858,2022-07-02 11:41:53
company,46,9791190118408,2022-07-02 11:42:30
company,46,9788940806630,2022-07-02 11:43:01
company,46,9791159923586,2022-07-02 11:43:50
company,46,9791160687163,2022-07-02 11:44:21
company,46,9788972187462,2022-07-02 11:47:40
company,46,9791168871007,2022-07-02 11:48:29
company,46,9788955084573,2022-07-02 11:49:32
company,46,9791159318504,2022-07-02 11:50:58
company,46,9791130819266,2022-07-02 11:51:40
company,46,9791165457754,2022-07-02 11:54:01
company,46,9791130819242,2022-07-02 11:54:21
company,46,9791167423320,2022-07-02 11:55:18
company,46,9791165873080,2022-07-02 11:56:52
company,46,9788950902995,2022-07-02 11:57:32
company,46,9791185701745,2022-07-02 11:58:51
company,46,9791187607625,2022-07-02 11:59:37
company,46,9791197783104,2022-07-02 12:00:09
company,46,9788964478189,2022-07-02 12:00:26
company,46,9791166291142,2022-07-02 12:01:08
company,46,9791160545562,2022-07-02 12:01:39
company,46,9791191503708,2022-07-02 12:02:21
company,46,9791130315409,2022-07-02 12:03:12
company,46,9791192275031,2022-07-02 12:04:02
company,46,9791192486062,2022-07-02 12:05:02
company,46,9791157003174,2022-07-02 12:05:38
company,46,9791129030450,2022-07-02 12:06:17
company,46,9791130810874,2022-07-02 12:08:24
company,46,9791130813998,2022-07-02 12:09:07
company,46,9788954447645,2022-07-02 12:09:49
company,46,9791130818078,2022-07-02 12:10:24
company,46,9791130817156,2022-07-02 12:11:06
company,46,9791130691053,2022-07-02 12:11:35
company,46,9791130638362,2022-07-02 12:13:05
user,5157,9788967450342,2022-07-03 04:12:48
user,5157,9791157682935,2022-07-03 04:13:42
user,5157,9791157682942,2022-07-03 04:13:52
user,5157,9788967450342,2022-07-03 04:14:18
user,5157,9788967450342,2022-07-03 04:14:25
user,5157,9788967450342,2022-07-03 04:14:53
user,5157,9788967450342,2022-07-03 04:16:02
user,5161,9791138325912,2022-07-04 03:58:35
user,5161,9791188572090,2022-07-04 04:01:00
user,5161,9791158483180,2022-07-04 04:01:40
user,5161,9791156351153,2022-07-04 04:06:51
user,5161,9788997134090,2022-07-04 04:08:41
user,5161,9788997134090,2022-07-04 04:09:21
user,5162,9791161571188,2022-07-04 06:42:34
user,5128,9781635190151,2022-07-04 06:50:56
user,5163,9791158486570,2022-07-04 11:49:08
user,5163,9791158486587,2022-07-04 11:49:16
user,4701,9788927722885,2022-07-04 12:14:06
user,4701,9791138313667,2022-07-04 12:18:34
user,4701,9791185909301,2022-07-04 23:47:40
user,4701,9788971419700,2022-07-04 23:53:37
company,46,9788925416397,2022-07-05 00:13:06
user,4701,9791138313667,2022-07-05 00:13:34
company,46,9791189430481,2022-07-05 00:13:54
company,46,9791160840858,2022-07-05 00:14:06
company,46,2909100547202,2022-07-05 00:25:20
company,46,9791185711089,2022-07-05 00:25:41
company,46,9788984316768,2022-07-05 00:29:12
company,46,9788992953283,2022-07-05 00:42:53
company,46,9788997536542,2022-07-05 00:44:07
company,46,9788927804178,2022-07-05 00:44:43
company,46,9788952762344,2022-07-05 00:45:30
company,46,9788995486863,2022-07-05 00:46:06
company,46,9791189688769,2022-07-05 00:52:57
company,46,9791189688776,2022-07-05 00:53:15
company,46,9788993748987,2022-07-05 00:54:53
company,46,9788993748444,2022-07-05 00:57:41
company,46,9788993748260,2022-07-05 00:58:47
company,46,9791195493784,2022-07-05 01:00:53
company,46,9788996706786,2022-07-05 01:03:50
company,46,9788997162222,2022-07-05 01:08:13
company,46,9791188956050,2022-07-05 01:11:38
company,46,9788946064478,2022-07-05 01:12:19
company,46,9788946048089,2022-07-05 01:12:59
user,5165,9788994404493,2022-07-05 03:42:39
user,5165,9791191043754,2022-07-05 03:48:12
company,46,2909101159709,2022-07-05 07:03:25
company,46,9791191847055,2022-07-05 07:05:31
company,46,9791191847161,2022-07-05 07:08:10
user,53,9791161571188,2022-07-06 17:52:50
user,53,9781635190151,2022-07-06 18:41:23
user,53,9781635190083,2022-07-06 18:41:27
user,462,9791157688012,2022-07-06 19:45:55
user,5173,9788952128751,2022-07-07 01:28:40
user,5172,9791161571188,2022-07-07 01:28:49
user,5172,9781635190151,2022-07-07 01:29:27
user,663,9788927732884,2022-07-07 02:45:39
user,663,9781635190380,2022-07-07 02:45:51
user,663,9791166850257,2022-07-07 02:46:11
user,663,9791189809461,2022-07-07 02:46:14
user,663,9781635190250,2022-07-07 02:46:20
user,663,9791196577094,2022-07-07 02:46:30
user,663,9791158485184,2022-07-07 02:47:35
user,663,9791166850257,2022-07-07 02:49:19
user,663,9788927732938,2022-07-07 02:49:24
user,663,9791169190114,2022-07-07 02:49:59
user,663,9781635190083,2022-07-07 02:51:30
user,663,9781635190380,2022-07-07 02:51:46
user,663,9791191957006,2022-07-07 02:52:10
user,663,9781635190380,2022-07-07 02:52:31
user,663,9788927732181,2022-07-07 02:58:13
user,663,9791191957006,2022-07-07 02:59:05
user,663,9791186701119,2022-07-07 03:02:03
user,2360,9791186701089,2022-07-07 09:14:18
user,5178,9781635190373,2022-07-07 19:59:40
user,5178,9788956768281,2022-07-07 20:01:32
user,5179,8809559747761,2022-07-08 00:58:33
user,5181,9791185872339,2022-07-08 13:32:15
user,5181,9791185872339,2022-07-08 13:33:26
user,5181,9791185872339,2022-07-08 13:34:09
user,5182,9788927731740,2022-07-08 18:02:27
user,5182,9788927731740,2022-07-08 18:02:43
user,5182,9788927731740,2022-07-08 19:15:46
user,5182,9788927731740,2022-07-08 19:16:50
company,46,9788964371640,2022-07-09 05:20:45
user,5185,9791161571188,2022-07-09 15:46:37
user,5185,9788991486300,2022-07-09 15:49:01
user,5185,9791161571188,2022-07-09 15:49:11
user,5185,9788972756194,2022-07-09 15:49:29
user,5185,9791191347685,2022-07-09 15:53:10
user,5185,9788901260716,2022-07-09 15:53:16
user,5185,9791192412009,2022-07-09 15:53:43
user,5185,9791191043723,2022-07-09 15:54:45
user,5185,9791191043723,2022-07-09 15:55:37
user,5185,9791197377143,2022-07-09 16:04:24
user,5185,9791161571188,2022-07-09 16:12:33
user,5185,9791197377143,2022-07-09 16:13:49
user,5185,9788972756194,2022-07-09 16:14:44
user,5185,9791161571188,2022-07-09 16:16:44
company,46,9791156620679,2022-07-10 01:12:24
company,46,9791156620686,2022-07-10 01:37:36
company,46,9791160686807,2022-07-10 06:21:00
company,46,9791162013366,2022-07-10 06:22:01
company,46,9791162013281,2022-07-10 06:22:33
company,46,9791191670110,2022-07-10 06:23:43
company,46,9791160681833,2022-07-10 06:30:14
user,4701,9788927732914,2022-07-10 06:56:46
user,4701,9791157685127,2022-07-10 06:58:48
user,4701,9788927732426,2022-07-10 06:59:42
company,46,9791160686852,2022-07-10 07:01:01
user,4701,9788957001431,2022-07-10 07:02:06
user,4701,9788957001431,2022-07-10 07:04:02
company,46,9791162011577,2022-07-10 07:13:26
user,5191,9788973009091,2022-07-10 16:59:02
user,5191,9788973009329,2022-07-10 16:59:27
user,5192,9791196577094,2022-07-10 17:34:44
user,5192,9791196577094,2022-07-10 17:35:05
user,5192,9788931557374,2022-07-10 17:36:36
user,5193,8809559749413,2022-07-10 17:56:09
user,5193,9791191118544,2022-07-10 17:58:57
user,5193,9791170400677,2022-07-10 18:00:16
user,5192,9788931557374,2022-07-10 21:59:16
user,5198,9791138402446,2022-07-11 10:14:26
user,5198,9788954683371,2022-07-11 10:16:22
user,5195,9791167640154,2022-07-11 12:16:29
user,5195,9791167640154,2022-07-11 12:16:36
user,5198,9791189581176,2022-07-11 13:48:14
user,5198,9788965137689,2022-07-11 13:49:28
user,4928,9788932373706,2022-07-11 18:48:09
user,4928,9788949114118,2022-07-11 18:48:41
user,4928,9788949112053,2022-07-11 18:49:38
user,4928,9791165791759,2022-07-11 18:52:36
user,4928,9791158360849,2022-07-11 18:53:28
user,4928,9791185564227,2022-07-11 18:57:11
user,4928,9791185564128,2022-07-11 18:58:29
user,4928,9791185564227,2022-07-11 19:08:28
user,4928,9788949114118,2022-07-11 19:10:17
user,4928,9788949112114,2022-07-11 19:12:45
user,4928,9788949101491,2022-07-11 19:13:37
user,4928,9788949100470,2022-07-11 19:17:43
user,4928,9788949119083,2022-07-11 19:18:07
user,4928,9788949114118,2022-07-11 19:20:07
user,4928,9788949114118,2022-07-11 19:22:09
user,4928,9788949114118,2022-07-11 19:22:16
user,4928,9788963057903,2022-07-11 19:33:43
user,4928,9788963057903,2022-07-11 19:34:28
user,4701,9788962926521,2022-07-12 06:40:58
user,4701,9791167340306,2022-07-12 06:43:41
user,4701,9791125483113,2022-07-12 06:44:05
user,4701,9788927732617,2022-07-12 06:45:00
company,46,9788925409030,2022-07-12 22:52:26
company,46,9791186419526,2022-07-12 22:55:37
company,46,9788959595273,2022-07-12 22:56:19
company,46,9788960400368,2022-07-12 22:58:37
user,3589,9791135488399,2022-07-13 07:38:18
company,63,9791127842000,2022-07-13 10:36:34
user,4404,9788953934306,2022-07-13 13:01:38
user,4404,9788953934306,2022-07-13 13:01:58
user,4404,9788953934306,2022-07-13 13:02:09
user,4404,9788953934306,2022-07-13 13:02:15
user,4404,9788953934436,2022-07-13 13:02:25
user,4404,9788953934313,2022-07-13 13:02:26
user,4404,9788953934313,2022-07-13 13:04:17
user,4404,9788953934436,2022-07-13 13:05:04
user,4404,9788953934313,2022-07-13 13:05:13
company,46,9781565812314,2022-07-13 13:20:20
user,5204,9788971419885,2022-07-13 14:50:05
user,5204,9788971419892,2022-07-13 14:50:31
user,5204,9788971419915,2022-07-13 14:50:47
user,5204,9788971419946,2022-07-13 15:37:02
user,5204,9788971419922,2022-07-13 15:37:15
user,5204,9788971419922,2022-07-13 15:37:42
user,5204,9788971419939,2022-07-13 15:37:56
user,5204,9788971419946,2022-07-13 15:39:48
user,5204,9788971419946,2022-07-13 15:40:07
user,5204,9788971419946,2022-07-13 15:41:08
user,5204,9788971419908,2022-07-13 16:12:37
user,5204,9788971419908,2022-07-13 17:32:59
user,4900,9791191145625,2022-07-13 20:29:07
user,4900,9791140401758,2022-07-13 20:33:38
user,4900,9791140405961,2022-07-13 20:34:34
user,4900,9791129360786,2022-07-13 20:34:51
user,4900,9791140405961,2022-07-13 20:35:20
user,4900,9791140401758,2022-07-13 20:35:25
user,4900,9791140401758,2022-07-13 20:35:37
user,4900,9791135478772,2022-07-13 20:36:10
