customer_type,customer_idx,param,created_at
user,5060,9788974747398,2022-07-01 03:05:10
user,5060,9788928505326,2022-07-01 03:05:18
user,5060,9788956387949,2022-07-01 03:05:30
user,5060,9788932625065,2022-07-01 03:11:41
user,4701,9791138313667,2022-07-05 03:04:54
user,663,9781635190380,2022-07-07 02:47:23
user,663,9781635190380,2022-07-07 02:48:47
user,663,9788927732938,2022-07-07 02:49:28
user,663,9791169190114,2022-07-07 02:50:01
user,663,9781635190250,2022-07-07 02:50:35
user,663,9788955186468,2022-07-07 02:50:59
user,663,9788955186444,2022-07-07 02:51:01
user,663,9788955186451,2022-07-07 02:51:03
user,663,9791191957006,2022-07-07 02:51:36
user,663,9781635190380,2022-07-07 02:51:49
user,663,9791191957006,2022-07-07 02:52:21
user,663,9781635190380,2022-07-07 02:52:43
user,663,9788959957613,2022-07-07 02:54:57
user,5198,9791189581176,2022-07-11 13:48:27
user,4900,9791191145649,2022-07-13 20:37:57
user,4900,9791191145649,2022-07-13 20:38:01
user,4900,9791192186214,2022-07-13 21:29:23
user,4900,9791192186207,2022-07-13 21:29:56
user,4900,9791138585231,2022-07-13 21:30:09
user,4900,9791134895495,2022-07-13 21:30:17
user,4900,9791134895495,2022-07-13 21:31:30
user,4900,9791167770172,2022-07-13 21:32:13
user,4900,9791138502207,2022-07-13 21:32:21
user,4900,9791136747341,2022-07-13 21:33:19
user,4900,9791164794980,2022-07-13 21:33:23
user,4900,2909101324402,2022-07-13 21:33:27
user,4900,9791134887032,2022-07-13 21:33:32
user,4900,9791167770035,2022-07-13 21:34:41
user,4900,9791163987642,2022-07-13 21:34:52
user,3673,9791157688012,2022-07-20 20:38:40
user,3673,9791157688012,2022-07-20 20:38:42
user,5253,9791185193649,2022-07-25 03:59:26
user,5253,9791185193861,2022-07-25 03:59:52
user,5271,9791161571188,2022-07-27 02:46:40
user,5271,9791161571331,2022-07-27 02:47:58
user,5271,9791161571379,2022-07-27 02:48:05
user,5271,9791159257711,2022-07-27 02:50:38
user,5271,9791161571379,2022-07-27 02:51:29
user,5271,9791161571331,2022-07-27 02:51:32
user,5271,9791161571188,2022-07-27 02:51:47
user,5271,9791190630269,2022-07-27 03:19:03
user,5271,9791190630269,2022-07-27 03:21:57
user,5271,9791190630269,2022-07-27 03:22:03
user,5305,9791138433365,2022-08-01 05:05:03
user,5316,9791190996099,2022-08-02 13:51:16
user,5316,9791196577094,2022-08-02 13:51:30
user,5316,9791196577094,2022-08-02 13:53:08
user,5316,9791158485870,2022-08-02 13:53:30
user,5316,9791158485184,2022-08-02 13:53:37
user,5768,9791196389260,2022-08-29 18:36:31
user,5768,9791196389253,2022-08-29 18:36:33
user,5768,9791196389246,2022-08-29 18:36:35
user,5768,9791196389215,2022-08-29 18:36:37
user,5768,9791196065270,2022-08-29 18:36:39
user,5768,9791196065287,2022-08-29 18:36:41
user,5768,9791130026718,2022-08-29 18:36:44
user,5768,9791130026725,2022-08-29 18:36:46
user,5768,9791130026718,2022-08-29 18:47:17
user,5768,9791130026725,2022-08-29 18:47:18
