,customer_type,customer_idx,isbn,created_at,title,date
67,user,5462,9781635190151,2022-08-21 06:04:57,Anytime Korean Beginning 1,2020.3.1
68,user,5462,9781635190151,2022-08-21 06:08:26,Anytime Korean Beginning 1,2020.3.1
69,user,5462,9781635190151,2022-08-21 06:15:01,Anytime Korean Beginning 1,2020.3.1
70,user,5463,9781635190151,2022-08-21 06:18:53,Anytime Korean Beginning 1,2020.3.1
71,user,5451,9781635190151,2022-08-21 11:56:48,Anytime Korean Beginning 1,2020.3.1
72,user,5474,9781635190151,2022-08-21 13:19:03,Anytime Korean Beginning 1,2020.3.1
73,user,5474,9781635190151,2022-08-21 13:20:16,Anytime Korean Beginning 1,2020.3.1
74,user,5475,9781635190151,2022-08-21 14:37:23,Anytime Korean Beginning 1,2020.3.1
75,user,5476,9781635190151,2022-08-21 17:11:04,Anytime Korean Beginning 1,2020.3.1
76,user,5480,9781635190151,2022-08-21 23:36:58,Anytime Korean Beginning 1,2020.3.1
77,user,5484,9781635190151,2022-08-22 02:40:31,Anytime Korean Beginning 1,2020.3.1
78,user,5484,9781635190151,2022-08-22 02:45:56,Anytime Korean Beginning 1,2020.3.1
79,user,5492,9781635190151,2022-08-22 12:15:00,Anytime Korean Beginning 1,2020.3.1
80,user,5492,9781635190151,2022-08-22 12:15:29,Anytime Korean Beginning 1,2020.3.1
81,user,5499,9781635190151,2022-08-22 14:13:09,Anytime Korean Beginning 1,2020.3.1
82,user,5500,9781635190151,2022-08-22 14:24:58,Anytime Korean Beginning 1,2020.3.1
83,user,5501,9781635190151,2022-08-22 15:05:14,Anytime Korean Beginning 1,2020.3.1
84,user,5515,9781635190151,2022-08-23 02:07:38,Anytime Korean Beginning 1,2020.3.1
85,user,5515,9781635190151,2022-08-23 02:13:06,Anytime Korean Beginning 1,2020.3.1
86,user,5519,9781635190151,2022-08-23 02:22:05,Anytime Korean Beginning 1,2020.3.1
87,user,5521,9781635190151,2022-08-23 02:31:31,Anytime Korean Beginning 1,2020.3.1
88,user,5523,9781635190151,2022-08-23 02:42:08,Anytime Korean Beginning 1,2020.3.1
89,user,5434,9781635190151,2022-08-23 04:27:45,Anytime Korean Beginning 1,2020.3.1
90,user,5532,9781635190151,2022-08-23 05:38:09,Anytime Korean Beginning 1,2020.3.1
91,user,5533,9781635190151,2022-08-23 05:51:01,Anytime Korean Beginning 1,2020.3.1
92,user,5534,9781635190151,2022-08-23 06:13:48,Anytime Korean Beginning 1,2020.3.1
93,user,5535,9781635190151,2022-08-23 06:18:08,Anytime Korean Beginning 1,2020.3.1
94,user,5537,9781635190151,2022-08-23 06:19:33,Anytime Korean Beginning 1,2020.3.1
95,user,5540,9781635190151,2022-08-23 06:21:12,Anytime Korean Beginning 1,2020.3.1
96,user,5541,9781635190151,2022-08-23 06:23:04,Anytime Korean Beginning 1,2020.3.1
97,user,5541,9781635190151,2022-08-23 06:25:50,Anytime Korean Beginning 1,2020.3.1
98,user,5535,9781635190151,2022-08-23 06:30:20,Anytime Korean Beginning 1,2020.3.1
99,user,5537,9781635190151,2022-08-23 06:34:17,Anytime Korean Beginning 1,2020.3.1
100,user,5545,9781635190151,2022-08-23 06:42:31,Anytime Korean Beginning 1,2020.3.1
101,user,5544,9781635190151,2022-08-23 06:47:00,Anytime Korean Beginning 1,2020.3.1
102,user,5537,9781635190151,2022-08-23 06:48:17,Anytime Korean Beginning 1,2020.3.1
103,user,5549,9781635190151,2022-08-23 07:28:46,Anytime Korean Beginning 1,2020.3.1
104,user,5462,9781635190151,2022-08-23 07:30:28,Anytime Korean Beginning 1,2020.3.1
105,user,5462,9781635190151,2022-08-23 07:33:55,Anytime Korean Beginning 1,2020.3.1
106,user,5545,9781635190151,2022-08-23 07:41:01,Anytime Korean Beginning 1,2020.3.1
107,user,5552,9781635190151,2022-08-23 07:42:05,Anytime Korean Beginning 1,2020.3.1
108,user,5552,9781635190151,2022-08-23 07:42:12,Anytime Korean Beginning 1,2020.3.1
109,user,5554,9781635190151,2022-08-23 07:52:36,Anytime Korean Beginning 1,2020.3.1
110,user,5533,9781635190151,2022-08-23 07:55:29,Anytime Korean Beginning 1,2020.3.1
111,user,5554,9781635190151,2022-08-23 07:59:39,Anytime Korean Beginning 1,2020.3.1
112,user,5545,9781635190151,2022-08-23 08:00:52,Anytime Korean Beginning 1,2020.3.1
113,user,5545,9781635190151,2022-08-23 08:01:32,Anytime Korean Beginning 1,2020.3.1
114,user,5545,9781635190151,2022-08-23 08:01:46,Anytime Korean Beginning 1,2020.3.1
115,user,5554,9781635190151,2022-08-23 08:03:00,Anytime Korean Beginning 1,2020.3.1
116,user,5554,9781635190151,2022-08-23 08:04:11,Anytime Korean Beginning 1,2020.3.1
117,user,5554,9781635190151,2022-08-23 08:04:58,Anytime Korean Beginning 1,2020.3.1
118,user,5554,9781635190151,2022-08-23 08:14:35,Anytime Korean Beginning 1,2020.3.1
119,user,5556,9781635190151,2022-08-23 08:32:42,Anytime Korean Beginning 1,2020.3.1
120,user,5557,9781635190151,2022-08-23 08:44:31,Anytime Korean Beginning 1,2020.3.1
121,user,5557,9781635190151,2022-08-23 08:45:18,Anytime Korean Beginning 1,2020.3.1
122,user,5549,9781635190151,2022-08-23 08:45:54,Anytime Korean Beginning 1,2020.3.1
123,user,5559,9781635190151,2022-08-23 08:47:10,Anytime Korean Beginning 1,2020.3.1
124,user,5560,9781635190151,2022-08-23 08:47:41,Anytime Korean Beginning 1,2020.3.1
125,user,5561,9781635190151,2022-08-23 08:58:48,Anytime Korean Beginning 1,2020.3.1
126,user,4975,9781635190151,2022-08-23 09:40:49,Anytime Korean Beginning 1,2020.3.1
127,user,5549,9781635190151,2022-08-23 10:23:03,Anytime Korean Beginning 1,2020.3.1
128,user,5549,9781635190151,2022-08-23 10:30:09,Anytime Korean Beginning 1,2020.3.1
129,user,5549,9781635190151,2022-08-23 10:49:25,Anytime Korean Beginning 1,2020.3.1
130,user,5549,9781635190151,2022-08-23 10:57:42,Anytime Korean Beginning 1,2020.3.1
131,user,5571,9781635190151,2022-08-23 11:09:16,Anytime Korean Beginning 1,2020.3.1
132,user,5566,9781635190151,2022-08-23 11:17:42,Anytime Korean Beginning 1,2020.3.1
133,user,5572,9781635190151,2022-08-23 11:21:19,Anytime Korean Beginning 1,2020.3.1
134,user,5572,9781635190151,2022-08-23 11:24:34,Anytime Korean Beginning 1,2020.3.1
135,user,5573,9781635190151,2022-08-23 11:27:12,Anytime Korean Beginning 1,2020.3.1
136,user,5575,9781635190151,2022-08-23 11:33:10,Anytime Korean Beginning 1,2020.3.1
137,user,5575,9781635190151,2022-08-23 11:38:14,Anytime Korean Beginning 1,2020.3.1
138,user,5575,9781635190151,2022-08-23 11:40:51,Anytime Korean Beginning 1,2020.3.1
139,user,5571,9781635190151,2022-08-23 11:45:30,Anytime Korean Beginning 1,2020.3.1
140,user,5571,9781635190151,2022-08-23 11:46:13,Anytime Korean Beginning 1,2020.3.1
141,user,5571,9781635190151,2022-08-23 11:46:23,Anytime Korean Beginning 1,2020.3.1
142,user,5577,9781635190151,2022-08-23 11:54:56,Anytime Korean Beginning 1,2020.3.1
143,user,5577,9781635190151,2022-08-23 11:56:49,Anytime Korean Beginning 1,2020.3.1
144,user,5577,9781635190151,2022-08-23 12:00:33,Anytime Korean Beginning 1,2020.3.1
145,user,5577,9781635190151,2022-08-23 12:01:15,Anytime Korean Beginning 1,2020.3.1
146,user,5577,9781635190151,2022-08-23 12:01:45,Anytime Korean Beginning 1,2020.3.1
147,user,5579,9781635190151,2022-08-23 12:17:41,Anytime Korean Beginning 1,2020.3.1
148,user,5577,9781635190151,2022-08-23 12:18:18,Anytime Korean Beginning 1,2020.3.1
149,user,5550,9781635190151,2022-08-23 12:23:05,Anytime Korean Beginning 1,2020.3.1
150,user,5566,9781635190151,2022-08-23 12:31:17,Anytime Korean Beginning 1,2020.3.1
151,user,5566,9781635190151,2022-08-23 12:32:11,Anytime Korean Beginning 1,2020.3.1
152,user,5580,9781635190151,2022-08-23 12:33:17,Anytime Korean Beginning 1,2020.3.1
153,user,5580,9781635190151,2022-08-23 12:33:37,Anytime Korean Beginning 1,2020.3.1
154,user,5583,9781635190151,2022-08-23 13:16:51,Anytime Korean Beginning 1,2020.3.1
155,user,5583,9781635190151,2022-08-23 13:20:28,Anytime Korean Beginning 1,2020.3.1
156,user,5498,9781635190151,2022-08-23 13:23:04,Anytime Korean Beginning 1,2020.3.1
157,user,5586,9781635190151,2022-08-23 14:04:02,Anytime Korean Beginning 1,2020.3.1
158,user,5587,9781635190151,2022-08-23 14:16:48,Anytime Korean Beginning 1,2020.3.1
159,user,5589,9781635190151,2022-08-23 14:48:20,Anytime Korean Beginning 1,2020.3.1
160,user,5589,9781635190151,2022-08-23 14:48:50,Anytime Korean Beginning 1,2020.3.1
161,user,5589,9781635190151,2022-08-23 14:49:03,Anytime Korean Beginning 1,2020.3.1
162,user,5590,9781635190151,2022-08-23 15:00:18,Anytime Korean Beginning 1,2020.3.1
163,user,5591,9781635190151,2022-08-23 15:01:35,Anytime Korean Beginning 1,2020.3.1
164,user,5590,9781635190151,2022-08-23 15:08:28,Anytime Korean Beginning 1,2020.3.1
165,user,5600,9781635190151,2022-08-23 22:54:56,Anytime Korean Beginning 1,2020.3.1
166,user,5601,9781635190151,2022-08-24 00:36:46,Anytime Korean Beginning 1,2020.3.1
167,user,5601,9781635190151,2022-08-24 00:37:00,Anytime Korean Beginning 1,2020.3.1
168,user,5601,9781635190151,2022-08-24 00:38:01,Anytime Korean Beginning 1,2020.3.1
169,user,5591,9781635190151,2022-08-24 02:45:10,Anytime Korean Beginning 1,2020.3.1
170,user,5610,9781635190151,2022-08-24 02:54:08,Anytime Korean Beginning 1,2020.3.1
171,user,5616,9781635190151,2022-08-24 04:42:34,Anytime Korean Beginning 1,2020.3.1
172,user,5591,9781635190151,2022-08-24 04:56:46,Anytime Korean Beginning 1,2020.3.1
173,user,5618,9781635190151,2022-08-24 04:57:20,Anytime Korean Beginning 1,2020.3.1
174,user,5618,9781635190151,2022-08-24 04:59:10,Anytime Korean Beginning 1,2020.3.1
175,user,5601,9781635190151,2022-08-24 07:11:31,Anytime Korean Beginning 1,2020.3.1
176,user,5601,9781635190151,2022-08-24 07:11:40,Anytime Korean Beginning 1,2020.3.1
177,user,5621,9781635190151,2022-08-24 07:47:41,Anytime Korean Beginning 1,2020.3.1
178,user,5623,9781635190151,2022-08-24 08:47:08,Anytime Korean Beginning 1,2020.3.1
179,user,5433,9781635190151,2022-08-24 09:08:00,Anytime Korean Beginning 1,2020.3.1
180,user,5640,9781635190151,2022-08-24 13:11:58,Anytime Korean Beginning 1,2020.3.1
181,user,5631,9781635190151,2022-08-24 13:27:22,Anytime Korean Beginning 1,2020.3.1
182,user,5641,9781635190151,2022-08-24 13:30:22,Anytime Korean Beginning 1,2020.3.1
183,user,5631,9781635190151,2022-08-24 13:38:14,Anytime Korean Beginning 1,2020.3.1
184,user,5643,9781635190151,2022-08-24 13:56:26,Anytime Korean Beginning 1,2020.3.1
185,user,5643,9781635190151,2022-08-24 13:56:36,Anytime Korean Beginning 1,2020.3.1
186,user,5639,9781635190151,2022-08-24 14:00:49,Anytime Korean Beginning 1,2020.3.1
187,user,5645,9781635190151,2022-08-24 14:01:54,Anytime Korean Beginning 1,2020.3.1
188,user,5639,9781635190151,2022-08-24 14:08:31,Anytime Korean Beginning 1,2020.3.1
189,user,5646,9781635190151,2022-08-24 14:08:52,Anytime Korean Beginning 1,2020.3.1
190,user,5631,9781635190151,2022-08-24 14:12:00,Anytime Korean Beginning 1,2020.3.1
191,user,5591,9781635190151,2022-08-24 14:35:22,Anytime Korean Beginning 1,2020.3.1
192,user,5648,9781635190151,2022-08-24 14:53:07,Anytime Korean Beginning 1,2020.3.1
193,user,5649,9781635190151,2022-08-24 15:17:00,Anytime Korean Beginning 1,2020.3.1
194,user,5650,9781635190151,2022-08-24 15:46:25,Anytime Korean Beginning 1,2020.3.1
195,user,5529,9781635190151,2022-08-24 15:54:50,Anytime Korean Beginning 1,2020.3.1
196,user,5529,9781635190151,2022-08-24 15:58:01,Anytime Korean Beginning 1,2020.3.1
197,user,5540,9781635190151,2022-08-24 16:09:13,Anytime Korean Beginning 1,2020.3.1
198,user,5540,9781635190151,2022-08-24 16:11:00,Anytime Korean Beginning 1,2020.3.1
199,user,5656,9781635190151,2022-08-24 23:58:45,Anytime Korean Beginning 1,2020.3.1
200,user,5666,9781635190151,2022-08-25 04:18:51,Anytime Korean Beginning 1,2020.3.1
201,user,5661,9781635190151,2022-08-25 04:38:11,Anytime Korean Beginning 1,2020.3.1
202,user,5669,9781635190151,2022-08-25 05:14:10,Anytime Korean Beginning 1,2020.3.1
203,user,5672,9781635190151,2022-08-25 06:40:23,Anytime Korean Beginning 1,2020.3.1
204,user,5672,9781635190151,2022-08-25 06:46:07,Anytime Korean Beginning 1,2020.3.1
205,user,5672,9781635190151,2022-08-25 06:47:45,Anytime Korean Beginning 1,2020.3.1
206,user,5551,9781635190151,2022-08-25 07:15:39,Anytime Korean Beginning 1,2020.3.1
207,user,5551,9781635190151,2022-08-25 07:15:52,Anytime Korean Beginning 1,2020.3.1
208,user,5661,9781635190151,2022-08-25 07:17:27,Anytime Korean Beginning 1,2020.3.1
209,user,5673,9781635190151,2022-08-25 07:18:18,Anytime Korean Beginning 1,2020.3.1
210,user,5675,9781635190151,2022-08-25 07:42:04,Anytime Korean Beginning 1,2020.3.1
211,user,5675,9781635190151,2022-08-25 07:43:00,Anytime Korean Beginning 1,2020.3.1
212,user,5675,9781635190151,2022-08-25 07:47:01,Anytime Korean Beginning 1,2020.3.1
213,user,5675,9781635190151,2022-08-25 07:49:05,Anytime Korean Beginning 1,2020.3.1
